respondent_id,louvain,girvan_newman,mean_opinion,mean_T,mean_E,mean_S,mean_V
11,1,0,0.38333333333333336,0.4,0.4,0.4666666666666667,0.26666666666666666
12,1,0,0.3559322033898305,0.26666666666666666,0.4666666666666667,0.2857142857142857,0.4
13,0,0,0.625,0.4666666666666667,0.5333333333333333,0.6666666666666666,0.8333333333333334
14,1,1,0.4666666666666667,0.4,0.3,0.5666666666666667,0.6
16,1,0,0.55,0.6,0.3333333333333333,0.6333333333333333,0.6333333333333333
17,1,1,0.49166666666666664,0.6333333333333333,0.16666666666666666,0.5,0.6666666666666666
18,1,0,0.45,0.13333333333333333,0.36666666666666664,0.6333333333333333,0.6666666666666666
19,0,0,0.5932203389830508,0.35714285714285715,0.6,0.5,0.9
20,0,0,0.6666666666666666,0.5,0.4666666666666667,0.7666666666666667,0.9333333333333333
21,0,0,0.7916666666666666,0.43333333333333335,0.7666666666666667,0.9666666666666667,1.0
22,1,0,0.36666666666666664,0.2,0.4,0.36666666666666664,0.5
24,3,-1,0.41228070175438597,0.42857142857142855,0.23333333333333334,0.5,0.5
26,4,-1,0.625,0.7,0.4666666666666667,0.7,0.6333333333333333
29,0,0,0.7333333333333333,0.6,0.4666666666666667,0.8666666666666667,1.0
31,1,0,0.5416666666666666,0.4,0.7,0.5666666666666667,0.5
32,1,0,0.6186440677966102,0.6666666666666666,0.5,0.6666666666666666,0.6333333333333333
35,2,0,0.6,0.7,0.23333333333333334,0.5,0.9666666666666667
36,5,-1,0.45,0.6333333333333333,0.2,0.36666666666666664,0.6
37,0,0,0.775,0.7666666666666667,0.6,0.8,0.9333333333333333
38,2,0,0.6583333333333333,0.5666666666666667,0.6333333333333333,0.6333333333333333,0.8
40,0,0,0.7327586206896551,0.5666666666666667,0.5666666666666667,0.8928571428571429,0.9285714285714286
41,0,0,0.8833333333333333,1.0,0.6,1.0,0.9333333333333333
42,1,0,0.5350877192982456,0.4166666666666667,0.5666666666666667,0.4666666666666667,0.6666666666666666
43,0,0,0.575,0.5,0.3,0.6,0.9
45,1,0,0.5083333333333333,0.2,0.6,0.6333333333333333,0.6
46,1,0,0.5166666666666667,0.4,0.4666666666666667,0.7,0.5
48,2,0,0.55,0.4,0.5,0.4666666666666667,0.8333333333333334
49,0,0,0.65,0.43333333333333335,0.5,0.8,0.8666666666666667
50,0,0,0.7833333333333333,0.8333333333333334,0.5666666666666667,0.9666666666666667,0.7666666666666667
52,0,0,0.725,0.7666666666666667,0.6666666666666666,0.8666666666666667,0.6
53,0,0,0.675,0.6,0.5666666666666667,0.7333333333333333,0.8
54,0,0,0.775,0.7333333333333333,0.5333333333333333,0.8333333333333334,1.0
55,0,0,0.675,0.5333333333333333,0.43333333333333335,0.9,0.8333333333333334
56,1,2,0.5,0.4666666666666667,0.4,0.6,0.5333333333333333
57,0,0,0.5916666666666667,0.26666666666666666,0.36666666666666664,0.9,0.8333333333333334
58,6,-1,0.3416666666666667,0.6,0.2,0.23333333333333334,0.3333333333333333
59,0,0,0.5583333333333333,0.4666666666666667,0.5666666666666667,0.5,0.7
61,0,0,0.6416666666666667,0.43333333333333335,0.4,0.9,0.8333333333333334
62,0,0,0.7083333333333334,0.7333333333333333,0.3333333333333333,0.9,0.8666666666666667
63,7,-1,0.5583333333333333,0.4,0.6,0.7333333333333333,0.5
64,1,0,0.5416666666666666,0.5666666666666667,0.4666666666666667,0.43333333333333335,0.7
65,1,0,0.425,0.4,0.4666666666666667,0.36666666666666664,0.4666666666666667
66,0,0,0.6666666666666666,0.6,0.5,0.7666666666666667,0.8
67,0,0,0.7333333333333333,0.5666666666666667,0.6666666666666666,0.8666666666666667,0.8333333333333334
69,8,-1,0.5508474576271186,0.39285714285714285,0.5666666666666667,0.5333333333333333,0.7
70,1,0,0.5583333333333333,0.4,0.5333333333333333,0.8,0.5
72,0,0,0.6,0.3333333333333333,0.6,0.7666666666666667,0.7
74,0,0,0.6666666666666666,0.6333333333333333,0.5333333333333333,0.7666666666666667,0.7333333333333333
79,9,-1,0.45555555555555555,0.5,0.36666666666666664,0.5,
80,1,0,0.575,0.4666666666666667,0.36666666666666664,0.8666666666666667,0.6
81,0,0,0.7631578947368421,0.6071428571428571,0.46153846153846156,0.9666666666666667,0.9666666666666667
82,0,0,0.6583333333333333,0.5,0.36666666666666664,0.7666666666666667,1.0
83,0,0,0.7333333333333333,0.7333333333333333,0.4666666666666667,0.8666666666666667,0.8666666666666667
84,10,-1,0.5169491525423728,0.25,0.43333333333333335,0.36666666666666664,1.0
85,11,-1,0.375,0.2,0.13333333333333333,0.5333333333333333,0.6333333333333333
86,0,0,0.6666666666666666,0.5,0.4666666666666667,0.8333333333333334,0.8666666666666667
89,12,-1,0.4083333333333333,0.26666666666666666,0.4,0.23333333333333334,0.7333333333333333
90,1,0,0.4583333333333333,0.3,0.5333333333333333,0.5,0.5
91,1,0,0.4166666666666667,0.3333333333333333,0.36666666666666664,0.4666666666666667,0.5
92,0,0,0.6339285714285714,0.3076923076923077,0.5384615384615384,0.7333333333333333,0.9
93,1,1,0.33620689655172414,0.43333333333333335,-0.03333333333333333,0.5769230769230769,0.4
94,0,0,0.875,0.7333333333333333,0.7666666666666667,1.0,1.0
95,0,0,0.6982758620689655,0.6333333333333333,0.42857142857142855,0.8666666666666667,0.8571428571428571
97,0,0,0.725,0.7333333333333333,0.4666666666666667,0.8,0.9
99,1,0,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.6,0.6
101,1,0,0.675,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.5666666666666667
102,1,0,0.5172413793103449,0.5714285714285714,0.3333333333333333,0.5714285714285714,0.6
103,13,-1,0.5172413793103449,0.5666666666666667,0.39285714285714285,0.42857142857142855,0.6666666666666666
104,0,0,0.6833333333333333,0.5,0.5,0.8,0.9333333333333333
105,0,0,0.8083333333333333,0.6333333333333333,0.7666666666666667,0.9,0.9333333333333333
106,2,0,0.5,0.26666666666666666,0.4666666666666667,0.6,0.6666666666666666
108,0,0,0.8083333333333333,0.5666666666666667,0.7333333333333333,0.9333333333333333,1.0
