respondent_id,n_answered,avg_run_first_half,avg_run_second_half,max_run_first_half,max_run_second_half,extreme_rate_first_half,extreme_rate_second_half
11,60,1.3043478260869565,2.142857142857143,3,5,0.2,0.1
12,59,1.5263157894736843,1.875,5,5,0.10344827586206896,0.03333333333333333
13,60,1.3043478260869565,2.0,5,5,0.5,0.5333333333333333
14,60,1.875,3.3333333333333335,7,11,0.1,0.2
16,60,1.3043478260869565,1.5,3,3,0.4666666666666667,0.4
17,60,1.4285714285714286,1.3636363636363635,3,3,0.3333333333333333,0.4
18,60,1.7647058823529411,2.727272727272727,5,11,0.0,0.3333333333333333
19,59,1.7058823529411764,2.3076923076923075,4,10,0.4482758620689655,0.6333333333333333
20,60,2.142857142857143,2.727272727272727,10,13,0.3,0.7333333333333333
21,60,1.6666666666666667,10.0,8,23,0.5666666666666667,0.9666666666666667
22,60,1.1111111111111112,1.7647058823529411,3,5,0.3,0.16666666666666666
24,57,1.2727272727272727,1.380952380952381,2,5,0.35714285714285715,0.27586206896551724
26,60,1.5,1.7647058823529411,4,9,0.5666666666666667,0.7333333333333333
29,60,1.5,10.0,5,25,0.6,0.8666666666666667
31,60,1.6666666666666667,2.0,5,5,0.43333333333333335,0.3
32,59,1.380952380952381,2.0,4,10,0.5172413793103449,0.3333333333333333
35,60,1.5789473684210527,2.3076923076923075,6,12,0.4666666666666667,0.6
36,60,1.6666666666666667,1.5,6,7,0.6,0.6666666666666666
37,60,2.3076923076923075,4.285714285714286,6,13,0.6333333333333333,0.8666666666666667
38,60,1.5789473684210527,1.875,5,6,0.5333333333333333,0.5
40,58,1.7058823529411764,3.625,4,10,0.41379310344827586,0.8275862068965517
41,60,3.75,6.0,15,19,0.8333333333333334,0.9333333333333333
42,57,2.5454545454545454,1.6111111111111112,8,6,0.17857142857142858,0.27586206896551724
43,60,1.3043478260869565,1.875,3,11,0.26666666666666666,0.6333333333333333
45,60,1.3636363636363635,1.3636363636363635,3,5,0.3333333333333333,0.3333333333333333
46,60,1.875,2.0,5,6,0.2,0.26666666666666666
48,60,1.3636363636363635,1.7647058823529411,3,4,0.3,0.5
49,60,1.5,1.875,3,5,0.4,0.7
50,60,2.727272727272727,3.0,7,7,0.7,0.7666666666666667
52,60,2.5,2.727272727272727,6,9,0.6666666666666666,0.5
53,60,1.5789473684210527,2.0,4,5,0.6333333333333333,0.5333333333333333
54,60,2.142857142857143,6.0,6,22,0.6666666666666666,0.9333333333333333
55,60,1.7647058823529411,2.3076923076923075,5,7,0.3333333333333333,0.7666666666666667
56,60,1.2,1.4285714285714286,3,5,0.36666666666666664,0.3
57,60,1.5789473684210527,2.3076923076923075,7,6,0.6,0.7333333333333333
58,60,1.4285714285714286,2.142857142857143,3,7,0.36666666666666664,0.23333333333333334
59,60,1.3636363636363635,1.5789473684210527,3,5,0.4666666666666667,0.4666666666666667
61,60,1.875,2.5,5,7,0.36666666666666664,0.7333333333333333
62,60,1.4285714285714286,3.0,6,9,0.5666666666666667,0.8333333333333334
63,60,1.3636363636363635,1.5789473684210527,4,4,0.4666666666666667,0.5333333333333333
64,60,1.4285714285714286,1.5789473684210527,2,5,0.4,0.26666666666666666
65,60,1.5789473684210527,1.875,5,6,0.36666666666666664,0.1
66,60,1.4285714285714286,1.7647058823529411,5,6,0.5,0.6333333333333333
67,60,1.6666666666666667,2.0,6,5,0.43333333333333335,0.7
69,59,1.2083333333333333,1.4285714285714286,2,4,0.27586206896551724,0.36666666666666664
70,60,1.3043478260869565,2.5,3,11,0.36666666666666664,0.3333333333333333
72,60,1.5,2.727272727272727,3,6,0.36666666666666664,0.6333333333333333
74,60,1.7647058823529411,3.0,7,11,0.6666666666666666,0.6666666666666666
79,45,1.2222222222222223,1.5333333333333334,4,3,0.2727272727272727,0.21739130434782608
80,60,1.2,3.3333333333333335,2,9,0.4,0.4666666666666667
81,57,1.5555555555555556,5.8,3,14,0.42857142857142855,0.9310344827586207
82,60,1.6666666666666667,2.5,4,15,0.3,0.8
83,60,1.5,2.727272727272727,3,8,0.5333333333333333,0.7333333333333333
84,59,1.5263157894736843,2.727272727272727,5,15,0.5172413793103449,0.6666666666666666
85,60,1.3636363636363635,1.4285714285714286,3,4,0.3333333333333333,0.5666666666666667
86,60,1.7647058823529411,2.3076923076923075,6,7,0.6666666666666666,0.7666666666666667
89,60,1.5789473684210527,1.3043478260869565,5,5,0.26666666666666666,0.5333333333333333
90,60,1.6666666666666667,30.0,6,30,0.3333333333333333,0.0
91,60,2.3076923076923075,10.0,9,22,0.03333333333333333,0.0
92,56,1.3333333333333333,1.8666666666666667,3,9,0.2857142857142857,0.7142857142857143
93,58,1.2608695652173914,1.8125,3,5,0.1724137931034483,0.13793103448275862
94,60,2.5,30.0,7,30,0.7,1.0
95,58,1.8125,2.230769230769231,6,5,0.5862068965517241,0.7241379310344828
97,60,1.5,2.5,3,8,0.5666666666666667,0.8
99,60,1.5789473684210527,4.285714285714286,5,11,0.23333333333333334,0.2
101,60,2.142857142857143,1.875,5,4,0.5333333333333333,0.26666666666666666
102,58,1.380952380952381,1.5263157894736843,3,4,0.2413793103448276,0.27586206896551724
103,58,1.380952380952381,1.9333333333333333,3,7,0.3103448275862069,0.3103448275862069
104,60,1.5,2.5,3,12,0.5,0.7666666666666667
105,60,2.142857142857143,3.3333333333333335,9,10,0.6333333333333333,0.8666666666666667
106,60,1.3043478260869565,1.875,3,5,0.26666666666666666,0.36666666666666664
108,60,1.4285714285714286,6.0,3,18,0.43333333333333335,0.9333333333333333
109,60,1.5,1.6666666666666667,4,4,0.26666666666666666,0.3333333333333333
110,60,2.142857142857143,30.0,12,30,0.6333333333333333,1.0
111,60,1.7647058823529411,3.75,9,15,0.16666666666666666,0.4
113,60,1.3043478260869565,1.5,3,6,0.43333333333333335,0.16666666666666666
114,60,1.6666666666666667,3.75,5,11,0.6,0.8333333333333334
115,60,1.6666666666666667,1.3636363636363635,6,4,0.2,0.23333333333333334
116,60,1.875,1.5,7,3,0.7333333333333333,0.4666666666666667
117,60,1.25,1.3636363636363635,2,3,0.23333333333333334,0.2
118,59,1.2083333333333333,1.7647058823529411,3,6,0.20689655172413793,0.4
119,60,7.5,1.4285714285714286,15,2,0.0,0.0
120,56,1.037037037037037,1.12,2,2,0.42857142857142855,0.35714285714285715
121,60,1.5789473684210527,1.5789473684210527,4,5,0.6,0.36666666666666664
123,50,2.7777777777777777,2.272727272727273,10,8,0.08,0.0
125,56,1.4,1.2727272727272727,6,6,0.5357142857142857,0.39285714285714285
126,60,1.5,6.0,3,15,0.26666666666666666,0.13333333333333333
