respondent_id,degree,mean_opinion,louvain
114,35,0.7666666666666667,0
67,34,0.7333333333333333,0
104,30,0.6833333333333333,0
55,30,0.675,0
49,28,0.65,0
110,28,0.8416666666666667,0
83,27,0.7333333333333333,0
61,27,0.6416666666666667,0
94,26,0.875,0
105,26,0.8083333333333333,0
21,25,0.7916666666666666,0
37,25,0.775,0
99,25,0.5333333333333333,1
66,23,0.6666666666666666,0
50,23,0.7833333333333333,0
70,22,0.5583333333333333,1
81,22,0.7631578947368421,0
97,22,0.725,0
38,21,0.6583333333333333,2
41,21,0.8833333333333333,0
54,21,0.775,0
53,20,0.675,0
91,19,0.4166666666666667,1
108,19,0.8083333333333333,0
95,19,0.6982758620689655,0
90,17,0.4583333333333333,1
32,16,0.6186440677966102,1
52,15,0.725,0
20,15,0.6666666666666666,0
13,13,0.625,0
86,13,0.6666666666666666,0
14,13,0.4666666666666667,1
46,12,0.5166666666666667,1
35,12,0.6,2
64,11,0.5416666666666666,1
126,11,0.5166666666666667,1
29,11,0.7333333333333333,0
74,9,0.6666666666666666,0
82,8,0.6583333333333333,0
62,7,0.7083333333333334,0
101,7,0.675,1
118,7,0.559322033898305,1
18,7,0.45,1
11,7,0.38333333333333336,1
80,7,0.575,1
57,7,0.5916666666666667,0
45,7,0.5083333333333333,1
19,6,0.5932203389830508,0
12,6,0.3559322033898305,1
16,5,0.55,1
43,4,0.575,0
72,4,0.6,0
65,4,0.425,1
31,4,0.5416666666666666,1
102,3,0.5172413793103449,1
109,3,0.525,1
92,3,0.6339285714285714,0
111,2,0.5083333333333333,1
48,2,0.55,2
113,2,0.44166666666666665,1
56,2,0.5,1
40,2,0.7327586206896551,0
106,2,0.5,2
59,2,0.5583333333333333,0
115,1,0.425,1
93,1,0.33620689655172414,1
42,1,0.5350877192982456,1
22,1,0.36666666666666664,1
17,1,0.49166666666666664,1
121,1,0.49166666666666664,0
26,0,0.625,4
36,0,0.45,5
24,0,0.41228070175438597,3
85,0,0.375,11
84,0,0.5169491525423728,10
63,0,0.5583333333333333,7
58,0,0.3416666666666667,6
79,0,0.45555555555555555,9
69,0,0.5508474576271186,8
103,0,0.5172413793103449,13
89,0,0.4083333333333333,12
116,0,0.6833333333333333,14
117,0,0.35,15
120,0,-0.10714285714285714,17
119,0,0.13333333333333333,16
123,0,0.32,18
125,0,0.36607142857142855,19
